업체명,신용평가 대상,신용등급,사업수행실적,사고사망만인율,산업재해예방활동 실적,산업 안전보건관리비 사용의무 위반,산업재해발생 보고의무 위반,산업안전보건법령 위반,환경관련볍 위반,국가고객 만족지수,회사채 또는 기업어음 등급 평가,회사채 또는 기업어음 등급,동반성장 지수,건설현장 불법행위 신고,사업계획 이행 노력도,하자처리 이행 노력도,품질미흡 통지서,품질우수 통지서,벌점
GS건설,기업어음,A20,"44,042 ",0.32,85,해당없음,2,0 회,해당없음,  78.33 ,기업어음,A20,최우수,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
HJ중공업,기업신용,A-,"5,661 ",0.26,95,해당없음,0,0 회,해당없음,#N/A,,,해당없음,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
대보건설,기업신용,A0,618 ,1.02,100,해당없음,0,0 회,해당없음,#N/A,,,해당없음,0,0,0,최근1년 0회,최근1년 3회,최근1년 0.점
길축산업개발,기업신용,BB0,0 ,0.00,없음,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
안택건설,기업신용,BB+,#N/A,0.00,없음,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
DL건설,기업신용,AA0,"11,078 ",0.37,80,해당없음,0,0 회,해당없음,#N/A,회사채,A-,우수,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
계룡건설,기업신용,AA-,"6,159 ",1.69,75,해당없음,0,0 회,해당없음,#N/A,회사채,BBB+,양호,0,0,0,최근1년 0회,최근1년 3회,최근1년 0.점
제일건설,기업신용,AA0,"3,902 ",0.96,95,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 1.4점
금광기업,기업신용,A+,0 ,0.00,85,해당없음,0,0 회,해당없음,#N/A,,,해당없음,0,0,0,최근1년 0회,최근1년 1회,최근1년 0.점
DL이앤씨,기업어음,A1,"36,895 ",0.87,85,해당없음,1,0 회,해당없음,#N/A,기업어음,A1,최우수,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
한신공영,기업신용,A+,"4,140 ",0.00,90,해당없음,0,0 회,해당없음,#N/A,회사채,BBB0,양호,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
우미건설,기업신용,AA0,"7,900 ",0.00,90,해당없음,0,0 회,해당없음,#N/A,,,양호,0,0,0,최근1년 0회,최근1년 1회,최근1년 0.점
파레나,기업신용,BB0,"1,113 ",0.00,없음,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
극동건설,기업신용,A+,"1,338 ",1.36,95,해당없음,0,0 회,해당없음,#N/A,,,해당없음,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
중흥토건,기업신용,A+,"7,744 ",1.77,90,해당없음,0,0 회,해당없음,#N/A,,,우수,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
서한,기업신용,,"2,075 ",0.00,100,해당없음,0,0 회,해당없음,#N/A,,,해당없음,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
신동아종합건설,기업신용,A0,76 ,1.14,77,해당없음,0,0 회,해당없음,#N/A,#N/A,#N/A,#N/A,0,0,0,최근1년 0회,최근1년 0회,최근1년 0.점
